Parameter Name;Value
General Information;
Sample name:;Soil_Samples_JKI
Additional Soil Paramters;
Density [g/cm3]:;1.62
Porosity [-]:;0.39
Wiederholungen;
Sample name 0:;
Sample name 1:;269.br
Sample name 2:;300.br
Sample name 3:;455.br
Sample name 4:;
Sample name 5:;
Sample name 6:;
Sample name 7:;
Fitting Parameters;
wtheta;1
wk;0.001
Fitting;
Model Description;traditional unconstrained van Genuchten-Mualem model
Notes;
General data;
- Site coordinates;
- Sampling date;
- Site description;
- Soil type;
- Land use;
Soil physical data;
- Texture (%clay, %silt, %sand);
- Soil texture class;
- Sampling depth;
- Organic carbon content;
Sample preparation and handling;
- Initial saturation procedure;
- Swelling handling (suppressed, not suppressed, under load);
pF [-];Water Content [Vol%];Weight [-]
2.122;-0.66;
2.14;-0.74;
2.161;-0.8;
2.182;-0.88;
2.203;-0.96;
2.226;-1.08;
2.25;-1.16;
2.275;-1.23;
2.301;-1.31;
2.329;-1.4;
2.358;-1.49;
2.389;-1.59;
2.422;-1.69;
2.456;-1.79;
2.493;-1.9;
2.531;-2.01;
2.015;-0.3;
2.033;-0.38;
2.051;-0.43;
2.067;-0.45;
2.085;-0.52;
2.106;-0.64;
2.128;-0.73;
2.155;-0.82;
2.184;-0.91;
2.214;-0.97;
2.243;-1.03;
2.272;-1.08;
2.302;-1.15;
2.333;-1.23;
2.366;-1.32;
2.4;-1.41;
2.436;-1.5;
2.475;-1.61;
2.516;-1.72;
2.557;-1.81;
2.598;-1.91;
2.64;-2.04;
2.685;-2.19;
2.733;-2.32;
2.779;-2.42;
2.828;-2.53;
2.876;-2.63;
2.003;-0.31;
2.017;-0.41;
2.032;-0.53;
2.049;-0.66;
2.064;-0.72;
2.078;-0.78;
2.095;-0.89;
2.115;-1.03;
2.137;-1.15;
2.163;-1.26;
2.191;-1.38;
2.222;-1.47;
2.253;-1.53;
2.285;-1.6;
2.32;-1.67;
2.357;-1.75;
2.395;-1.84;
2.435;-1.92;
2.475;-2.01;
2.516;-2.1;
2.559;-2.2;
2.601;-2.29;
2.642;-2.38;
2.683;-2.47;
2.725;-2.57;
2.769;-2.68;
2;-0.39;
2.01;-0.43;
2.022;-0.48;
