Time,Pico32_1,Pico32_2,5TM_1,5TM_2,10HS_3,10HS_4,theta_grav
2017-03-18 07:20:00,0.1883,0.1519,0.09589965641498566,0.11202526092529297,0.2450239360332489,0.22832812368869781,0.1739387827858435
2017-03-18 07:30:00,0.18780000000000002,0.1518,0.09449584782123566,0.11383884400129318,0.24318893253803253,0.22785711288452148,0.1739387827858435
2017-03-18 07:40:00,0.18789999999999998,0.1521,0.0949641689658165,0.11338600516319275,0.24364803731441498,0.22785711288452148,0.1739260504201699
2017-03-18 07:50:00,0.188,0.1518,0.09636683017015457,0.11066115647554398,0.24594010412693024,0.22832812368869781,0.1739133180544963
2017-03-18 08:00:00,0.18780000000000002,0.1519,0.09683362394571304,0.11020570248365402,0.24594010412693024,0.22832812368869781,0.1739133180544963
2017-03-18 08:10:00,0.18780000000000002,0.1518,0.09636683017015457,0.11020570248365402,0.24594010412693024,0.22832812368869781,0.17390058568882294
2017-03-18 08:20:00,0.18780000000000002,0.1517,0.09636683017015457,0.11066115647554398,0.24548213183879852,0.22832812368869781,0.17388785332314938
2017-03-18 08:30:00,0.18780000000000002,0.1516,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22785711288452148,0.1738751209574758
2017-03-18 08:40:00,0.18760000000000002,0.1517,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.1738751209574758
2017-03-18 08:50:00,0.18789999999999998,0.1519,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.1738751209574758
2017-03-18 09:00:00,0.1877,0.1518,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.1738623885918022
2017-03-18 09:10:00,0.1877,0.1515,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.1738496562261286
2017-03-18 09:20:00,0.1875,0.1516,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.1738496562261286
2017-03-18 09:30:00,0.18760000000000002,0.1515,0.0949641689658165,0.11338600516319275,0.24410690367221832,0.22738562524318695,0.1738496562261286
